topology,strict,o2,ct_before,ct_after
L6,False,0.0,2,0
L6,False,0.0,2,0
L6,False,0.0,1,0
L6,False,0.0,1,0
L6,False,0.0,5,2
L6,False,0.0,6,2
L6,False,0.0,3,2
L6,False,0.0,1,0
L6,False,0.0,6,2
L6,False,0.0,5,2
Y6,False,0.0,7,1
Y6,False,0.0,3,0
Y6,False,0.0,5,3
Y6,False,0.0,5,4
G6,False,0.0,2,0
G6,False,0.0,4,0
G6,False,0.0,3,0
G6,False,0.0,4,0
G6,False,0.0,2,0
Y6,False,0.0,5,1
Y6,False,0.0,3,3
Y6,False,0.0,6,2
Y6,False,0.0,3,2
Y6,False,0.0,5,2
Y6,False,0.0,2,1
G6,False,0.0,1,0
G6,False,0.0,4,0
G6,False,0.0,3,0
G6,False,0.0,5,0
G6,False,0.0,4,0
